initiator_id,start_frame,end_frame
1,36,43
1,75,85
1,247,252
2,136,145
2,181,202
2,382,386
3,55,59
3,132,137
3,169,182
3,372,377
4,91,117
4,157,163
4,309,343
5,100,105
5,221,225
5,311,318
5,395,400
6,91,97
6,230,234
7,84,89
7,445,449
8,47,51
8,158,164
8,212,233
9,65,80
9,112,121
9,206,210
9,282,286
9,338,349
10,54,65
10,209,214
10,339,343
11,155,159
12,243,247
12,290,297
13,184,188
13,291,315
14,38,80
14,332,336
14,454,486
15,57,61
15,100,104
15,201,237
15,270,274
15,322,349
15,404,408
15,482,486
