frame,id,class,x,y,vx,vy,ax,ay,closest,holder
1,1,defense,49.44,23.13,-1.95,0.56,0.0,0.0,12,False
1,2,defense,52.67,24.79,-1.58,0.1,0.0,0.0,9,False
1,3,defense,55.74,27.28,-1.45,-0.12,0.0,0.0,10,False
1,4,defense,50.05,28.94,-2.08,0.11,0.0,0.0,7,False
1,5,defense,52.26,26.71,-1.82,-0.08,0.0,0.0,11,False
1,6,defense,46.98,28.47,-1.68,-0.65,0.0,0.0,8,False
1,7,offense,23.47,30.8,1.63,0.71,0.0,0.0,4,True
1,8,offense,27.52,26.87,1.05,-0.03,0.0,0.0,6,False
1,9,offense,28.45,25.7,0.53,-0.12,0.0,0.0,2,False
1,10,offense,31.88,25.67,0.83,-0.41,0.0,0.0,3,False
1,11,offense,30.97,22.95,1.25,0.1,0.0,0.0,5,False
1,12,offense,29.83,24.96,0.62,-0.11,0.0,0.0,1,False
1,13,offense,32.08,22.5,1.1,0.09,0.0,0.0,14,False
1,14,defense,56.92,21.98,-1.71,0.09,0.0,0.0,13,False
1,15,disc,23.47,30.8,1.63,0.71,0.0,0.0,0,False
2,1,defense,49.25,23.19,-2.99,0.83,-15.58,4.11,12,False
2,2,defense,52.52,24.8,-2.47,0.2,-13.29,1.49,9,False
2,3,defense,55.6,27.26,-2.11,-0.18,-9.96,-0.84,10,False
2,4,defense,49.83,28.96,-3.04,0.12,-14.42,0.14,7,False
2,5,defense,52.07,26.7,-2.64,-0.1,-12.38,-0.27,11,False
2,6,defense,46.8,28.4,-2.58,-0.99,-13.36,-5.13,8,False
2,7,offense,23.6,30.86,2.22,1.07,8.92,5.33,4,True
2,8,offense,27.62,26.86,1.49,-0.03,6.6,0.04,6,False
2,9,offense,28.51,25.69,0.82,-0.21,4.31,-1.27,2,False
2,10,offense,31.96,25.64,1.23,-0.62,6.01,-3.09,3,False
2,11,offense,31.1,22.96,1.75,0.15,7.45,0.73,5,False
2,12,offense,29.9,24.95,0.88,-0.15,3.84,-0.58,1,False
2,13,offense,32.18,22.51,1.65,0.14,8.19,0.73,14,False
2,14,defense,56.75,21.98,-2.48,0.15,-11.51,0.86,13,False
2,15,disc,23.6,30.86,2.22,1.07,8.92,5.33,0,False
3,1,defense,49.04,23.24,-3.64,0.98,-9.73,2.24,12,False
3,2,defense,52.35,24.81,-3.07,0.25,-9.07,0.73,9,False
3,3,defense,55.45,27.25,-2.58,-0.22,-6.94,-0.58,10,False
3,4,defense,49.63,28.96,-3.59,0.12,-8.31,0.01,7,False
3,5,defense,51.9,26.69,-3.19,-0.08,-8.23,0.16,11,False
3,6,defense,46.64,28.34,-2.99,-1.12,-6.19,-2.0,8,False
3,7,offense,23.79,30.94,2.47,1.25,3.77,2.74,4,True
3,8,offense,27.73,26.86,1.75,-0.02,3.85,0.1,6,False
3,9,offense,28.56,25.67,0.94,-0.29,1.88,-1.27,2,False
3,10,offense,32.05,25.59,1.48,-0.78,3.66,-2.46,3,False
3,11,offense,31.22,22.97,2.06,0.22,4.71,1.18,5,False
3,12,offense,29.96,24.94,1.0,-0.19,1.85,-0.64,1,False
3,13,offense,32.3,22.52,1.97,0.14,4.84,0.07,14,False
3,14,defense,56.58,22.0,-2.96,0.21,-7.12,0.86,13,False
3,15,disc,23.79,30.94,2.47,1.25,3.77,2.74,0,False
4,1,defense,48.64,23.35,-4.89,1.32,-18.7,5.05,12,False
4,2,defense,52.01,24.85,-4.11,0.37,-15.51,1.8,9,False
4,3,defense,55.18,27.23,-3.42,-0.25,-12.64,-0.48,10,False
4,4,defense,49.24,28.97,-4.83,0.15,-18.62,0.49,7,False
4,5,defense,51.55,26.68,-4.27,-0.07,-16.15,0.19,11,False
4,6,defense,46.29,28.2,-3.95,-1.37,-14.5,-3.61,8,False
4,7,offense,24.06,31.09,3.06,1.64,8.83,5.8,4,True
4,8,offense,27.92,26.86,2.34,-0.02,8.81,0.01,6,False
4,9,offense,28.67,25.64,1.27,-0.42,4.97,-1.89,2,False
